City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,omboue,GA,-1.5746,9.2618,77.94,93,100,5.97,overcast clouds
1,fairlie,GB,55.756,-4.8556,53.51,89,100,1.99,light rain
2,tiarei,PF,-17.5333,-149.3333,86.02,74,100,13.44,light rain
3,pevek,RU,69.7008,170.3133,27.97,79,98,3.96,overcast clouds
4,saskylakh,RU,71.9167,114.0833,33.64,100,100,5.23,overcast clouds
5,cherskiy,RU,68.75,161.3,33.94,85,100,8.03,overcast clouds
6,mataura,NZ,-46.1927,168.8643,53.47,61,3,2.48,clear sky
7,kapaa,US,22.0752,-159.319,82.38,76,0,9.22,clear sky
8,kutum,SD,14.2,24.6667,72.45,54,98,13.62,overcast clouds
9,fortuna,US,40.5982,-124.1573,67.93,67,20,11.5,few clouds
10,port elizabeth,ZA,-33.918,25.5701,55.31,97,0,5.91,clear sky
11,kodiak,US,57.79,-152.4072,43.84,69,30,6.11,scattered clouds
12,ponta do sol,PT,32.6667,-17.1,68.72,84,36,6.38,scattered clouds
13,bilma,NE,18.6853,12.9164,78.71,19,0,12.44,clear sky
14,punta arenas,CL,-53.15,-70.9167,42.12,81,100,7.43,overcast clouds
15,bluff,NZ,-46.6,168.3333,53.8,67,6,8.12,clear sky
16,klaksvik,FO,62.2266,-6.589,47.32,97,80,11.23,broken clouds
17,mecca,SA,21.4267,39.8261,89.82,9,0,8.46,clear sky
18,nikolskoye,RU,59.7035,30.7861,46.87,89,100,7.63,overcast clouds
19,khatanga,RU,71.9667,102.5,32.49,100,100,2.37,overcast clouds
20,rikitea,PF,-23.1203,-134.9692,77.04,71,27,18.68,scattered clouds
21,yellowknife,CA,62.456,-114.3525,51.57,40,100,11.99,overcast clouds
22,victoria,HK,22.2855,114.1577,68.32,90,100,8.01,overcast clouds
23,bay roberts,CA,47.5999,-53.2648,35.06,80,55,5.01,broken clouds
24,mount isa,AU,-20.7333,139.5,78.57,44,0,14.97,clear sky
25,itoman,JP,26.1247,127.6694,64.78,94,75,19.57,light rain
26,hvolsvollur,IS,63.7533,-20.2243,49.24,85,100,3.83,overcast clouds
27,leningradskiy,RU,69.3833,178.4167,26.91,76,100,3.67,overcast clouds
28,lompoc,US,34.6391,-120.4579,78.57,87,100,13.8,overcast clouds
29,tasiilaq,GL,65.6145,-37.6368,33.96,97,100,10.2,snow
30,castro,BR,-24.7911,-50.0119,53.62,97,8,5.06,clear sky
31,chifeng,CN,42.2683,118.9636,63.41,23,0,10.78,clear sky
32,vila velha,BR,-20.3297,-40.2925,75.15,69,75,9.22,broken clouds
33,aksu,CN,41.1231,80.2644,67.41,40,100,2.21,light rain
34,thompson,CA,55.7435,-97.8558,35.76,93,100,10.36,light intensity drizzle
35,kruisfontein,ZA,-34.0033,24.7314,54.93,66,0,5.95,clear sky
36,constitucion,CL,-35.3333,-72.4167,56.01,57,100,3.71,overcast clouds
37,udachnyy,RU,66.4167,112.4,41.45,86,100,2.95,overcast clouds
38,cam ranh,VN,11.9214,109.1591,82.36,78,40,3.44,scattered clouds
39,half moon bay,US,37.4636,-122.4286,73.89,71,100,29.93,mist
40,baoding,CN,38.8511,115.4903,79.95,12,0,6.76,clear sky
41,qaanaaq,GL,77.484,-69.3632,21.43,76,93,5.28,overcast clouds
42,albany,US,42.6001,-73.9662,68.4,93,100,4.09,overcast clouds
43,cape town,ZA,-33.9258,18.4232,62.11,50,0,4.65,clear sky
44,ushuaia,AR,-54.8,-68.3,40.01,87,100,11.05,overcast clouds
45,hobart,AU,-42.8794,147.3294,53.46,80,75,19.57,broken clouds
46,lar,IN,26.2039,83.9717,90.3,60,0,10.83,clear sky
47,marti,CU,22.9475,-80.9203,75.22,85,41,2.59,light rain
48,port hedland,AU,-20.3167,118.5667,80.65,26,4,14.97,clear sky
49,sitka,US,57.0531,-135.33,53.49,50,20,12.66,few clouds
50,annau,TM,37.8876,58.516,72.77,31,7,2.71,clear sky
51,naze,JP,28.3667,129.4833,61.72,86,100,11.77,light rain
52,falun,SE,60.6036,15.626,40.95,60,0,4.99,clear sky
53,simao,CN,22.7886,100.9748,67.3,86,100,1.03,overcast clouds
54,jamestown,US,42.097,-79.2353,63.95,70,0,1.99,clear sky
55,kahului,US,20.8947,-156.47,80.83,74,65,11.99,broken clouds
56,walvis bay,NA,-22.9575,14.5053,64.29,56,1,4.97,clear sky
57,kalakamati,BW,-20.5929,27.3121,57.0,85,27,12.91,scattered clouds
58,mar del plata,AR,-38.0023,-57.5575,52.95,81,40,10.36,scattered clouds
59,haines junction,CA,60.7522,-137.5108,43.75,69,100,0.34,overcast clouds
60,vestmanna,FO,62.1564,-7.1664,45.52,87,20,10.36,few clouds
61,kang,BW,-23.6752,22.7876,59.94,41,6,8.12,clear sky
62,arraial do cabo,BR,-22.9661,-42.0278,73.72,84,8,19.37,clear sky
63,new norfolk,AU,-42.7826,147.0587,53.1,48,78,11.65,broken clouds
64,dunnville,CA,42.9001,-79.6163,64.9,88,99,6.33,overcast clouds
65,bredasdorp,ZA,-34.5322,20.0403,53.78,81,0,3.71,clear sky
66,kamogawa,JP,35.1,140.1,61.14,96,100,8.21,light rain
67,dingle,PH,10.9995,122.6711,84.52,69,99,1.77,overcast clouds
68,araci,BR,-11.3333,-38.9667,71.65,89,100,5.5,overcast clouds
69,teguldet,RU,57.3064,88.1667,63.19,62,17,8.39,few clouds
70,georgetown,MY,5.4112,100.3354,80.53,83,20,4.61,few clouds
71,bambous virieux,MU,-20.3428,57.7575,73.65,88,40,6.91,moderate rain
72,hami,CN,42.8,93.45,69.8,6,98,11.79,overcast clouds
73,lorengau,PG,-2.0226,147.2712,84.6,62,100,4.43,overcast clouds
74,poum,NC,-20.2333,164.0167,78.31,73,79,19.73,broken clouds
75,carnarvon,AU,-24.8667,113.6333,67.71,36,0,9.35,clear sky
76,antsohihy,MG,-14.8796,47.9875,66.07,78,1,5.53,clear sky
77,benjamin aceval,PY,-24.9667,-57.5667,62.74,82,0,6.76,clear sky
78,salalah,OM,17.0151,54.0924,82.49,51,7,6.91,clear sky
79,pedernales,DO,18.0384,-71.744,80.33,75,100,9.24,overcast clouds
80,cabo san lucas,MX,22.8909,-109.9124,92.5,16,40,17.27,scattered clouds
81,dikson,RU,73.5069,80.5464,34.59,93,100,15.12,overcast clouds
82,east london,ZA,-33.0153,27.9116,61.48,84,0,7.31,clear sky
83,busselton,AU,-33.65,115.3333,57.27,70,95,8.9,overcast clouds
84,hilo,US,19.7297,-155.09,85.28,81,44,5.99,scattered clouds
85,vaini,TO,-21.2,-175.2,77.16,73,40,6.91,scattered clouds
86,krasnoselkup,RU,65.7,82.4667,50.68,97,100,3.69,moderate rain
87,thessalon,CA,46.2501,-83.5666,61.09,67,76,8.21,broken clouds
88,puerto asis,CO,0.5133,-76.5007,73.67,99,91,1.3,overcast clouds
89,bonfim,BR,3.0833,-59.95,78.48,78,98,3.58,overcast clouds
90,atuona,PF,-9.8,-139.0333,78.75,71,11,15.59,few clouds
91,kirovohrad,UA,48.5132,32.2597,50.92,75,68,8.37,broken clouds
92,qasigiannguit,GL,68.8193,-51.1922,19.65,85,17,5.32,few clouds
93,kaitangata,NZ,-46.2817,169.8464,56.26,63,0,2.73,clear sky
94,bengkulu,ID,-3.8004,102.2655,77.34,91,82,3.67,broken clouds
95,puerto ayora,EC,-0.7393,-90.3518,72.55,96,84,1.99,broken clouds
96,hithadhoo,MV,-0.6,73.0833,82.8,76,100,11.88,overcast clouds
97,mahebourg,MU,-20.4081,57.7,73.69,88,40,6.91,scattered clouds
98,richards bay,ZA,-28.783,32.0377,64.58,87,44,2.39,scattered clouds
99,hermanus,ZA,-34.4187,19.2345,58.8,63,0,9.6,clear sky
100,port moresby,PG,-9.4431,147.1797,81.82,72,37,5.01,scattered clouds
101,okato,NZ,-39.2,173.8833,67.51,92,99,10.92,overcast clouds
102,sao filipe,CV,14.8961,-24.4956,75.34,75,100,8.12,overcast clouds
103,pemba,MZ,-12.974,40.5178,73.22,81,45,12.8,light rain
104,sonamukhi,IN,23.3,87.4167,86.36,67,97,12.57,overcast clouds
105,ust-kulom,RU,61.6864,53.6902,43.07,91,42,2.46,scattered clouds
106,tazovskiy,RU,67.4667,78.7,39.56,98,100,4.99,overcast clouds
107,ostrovnoy,RU,68.0531,39.5131,34.77,87,21,6.24,few clouds
108,provideniya,RU,64.3833,-173.3,39.36,75,40,18.01,scattered clouds
109,saint-philippe,RE,-21.3585,55.7679,67.59,87,78,11.16,light rain
110,upernavik,GL,72.7868,-56.1549,10.45,92,37,6.96,scattered clouds
111,kizhinga,RU,51.8462,109.9097,61.93,26,11,4.54,few clouds
112,novomoskovsk,RU,54.0105,38.2846,44.19,94,100,12.75,light rain
113,kavieng,PG,-2.5744,150.7967,84.11,65,100,1.99,overcast clouds
114,kaseda,JP,31.4167,130.3167,62.73,76,100,4.07,overcast clouds
115,lasem,ID,-6.6922,111.4527,81.59,80,100,6.26,overcast clouds
116,paita,PE,-5.0892,-81.1144,67.15,79,68,15.9,broken clouds
117,vrangel,RU,42.7297,133.0839,51.4,75,38,7.63,scattered clouds
118,bocaiuva,BR,-17.1078,-43.815,71.85,59,76,1.45,broken clouds
119,chateaubelair,VC,13.2833,-61.25,78.21,83,26,14.27,scattered clouds
120,bhattiprolu,IN,16.1,80.7833,82.56,77,14,4.94,few clouds
121,port alfred,ZA,-33.5906,26.891,61.99,83,0,8.63,clear sky
122,evensk,RU,61.95,159.2333,39.88,87,100,12.21,overcast clouds
123,katsuura,JP,35.1333,140.3,59.88,95,100,4.9,light rain
124,sinnamary,GF,5.3833,-52.95,78.21,92,100,9.53,moderate rain
125,buta,CD,2.7858,24.73,67.46,98,100,1.21,overcast clouds
126,souillac,MU,-20.5167,57.5167,73.78,88,40,6.91,light rain
127,galveston,US,29.3669,-94.9669,83.17,77,0,13.8,clear sky
128,hokitika,NZ,-42.7167,170.9667,60.21,81,94,3.78,overcast clouds
129,lugovoy,KZ,42.9472,72.7644,56.7,69,5,4.56,clear sky
130,palu,ID,-0.8917,119.8707,86.31,71,19,0.67,few clouds
131,gombong,ID,-7.6072,109.5142,81.88,82,35,1.1,scattered clouds
132,longyearbyen,SJ,78.2186,15.6401,30.04,74,75,1.14,light snow
133,caravelas,BR,-17.7125,-39.2481,74.16,76,100,5.28,overcast clouds
134,korop,UA,51.5664,32.9586,40.87,88,0,8.39,clear sky
135,vestmannaeyjar,IS,63.4427,-20.2734,48.61,93,100,19.64,overcast clouds
136,tigil,RU,57.8,158.6667,49.12,58,100,11.07,overcast clouds
137,porto novo,BJ,6.4965,2.6036,80.02,86,100,4.63,overcast clouds
138,monrovia,LR,6.3005,-10.7969,78.57,86,100,9.82,overcast clouds
139,biak,ID,-0.9131,122.8766,82.74,73,38,1.66,scattered clouds
140,nandura,IN,20.8333,76.45,85.93,48,4,7.78,clear sky
141,chuy,UY,-33.6971,-53.4616,46.92,70,0,7.87,clear sky
142,grand gaube,MU,-20.0064,57.6608,73.8,89,34,3.0,moderate rain
143,college,US,64.8569,-147.8028,52.29,49,75,10.36,broken clouds
144,glendive,US,47.1053,-104.7125,69.49,32,0,9.22,clear sky
145,vanimo,PG,-2.6741,141.3028,84.4,67,92,5.39,overcast clouds
146,broome,US,42.2506,-75.833,68.02,86,20,4.61,few clouds
147,nemuro,JP,43.3236,145.575,48.16,72,2,15.75,clear sky
148,tabou,CI,4.423,-7.3528,78.64,88,100,6.8,light rain
149,vonitsa,GR,38.9164,20.8864,62.56,94,20,0.0,few clouds
150,qarqin,AF,37.4185,66.0436,73.74,32,0,0.54,clear sky
151,esperance,AU,-33.8667,121.9,53.44,74,100,4.47,overcast clouds
152,kamenka,RU,51.3223,42.7678,43.3,97,12,8.01,few clouds
153,beringovskiy,RU,63.05,179.3167,35.96,86,95,5.12,overcast clouds
154,yumen,CN,40.2833,97.2,58.44,9,5,10.54,clear sky
155,pangnirtung,CA,66.1451,-65.7125,16.2,91,49,4.63,scattered clouds
156,rurrenabaque,BO,-14.4413,-67.5278,68.81,95,100,2.39,overcast clouds
157,acapulco,MX,16.8634,-99.8901,84.02,65,40,10.36,scattered clouds
158,bathsheba,BB,13.2167,-59.5167,79.36,85,29,19.44,scattered clouds
159,pochutla,MX,15.7432,-96.4661,85.82,60,100,7.2,overcast clouds
160,butaritari,KI,3.0707,172.7902,82.04,73,40,10.98,scattered clouds
161,vardo,NO,70.3705,31.1107,37.38,75,100,9.22,overcast clouds
162,oktyabrskoye,RU,43.0645,44.7417,51.94,81,100,0.0,overcast clouds
163,inuvik,CA,68.3499,-133.7218,36.43,100,100,4.21,overcast clouds
164,knysna,ZA,-34.0363,23.0471,60.37,54,0,5.41,clear sky
165,lagoa,PT,39.05,-27.9833,58.1,80,1,51.09,clear sky
166,wasilla,US,61.5814,-149.4394,55.65,39,75,8.05,broken clouds
167,chapais,CA,49.7834,-74.8492,58.14,93,100,6.89,overcast clouds
168,baykit,RU,61.67,96.37,62.65,40,65,1.9,broken clouds
169,havre-saint-pierre,CA,50.2334,-63.5986,37.31,83,100,13.22,overcast clouds
170,grindavik,IS,63.8424,-22.4338,48.67,100,100,25.32,overcast clouds
171,cidreira,BR,-30.1811,-50.2056,59.99,82,98,14.63,overcast clouds
172,codrington,AU,-38.2667,141.9667,55.17,68,95,14.47,overcast clouds
173,springbok,ZA,-29.6643,17.8865,57.96,18,0,9.08,clear sky
174,prado,BR,-17.3411,-39.2208,75.18,75,99,6.44,overcast clouds
175,sandnessjoen,NO,66.0217,12.6316,37.65,90,100,5.01,overcast clouds
176,avarua,CK,-21.2078,-159.775,78.85,65,75,3.44,broken clouds
177,noumea,NC,-22.2763,166.4572,79.0,99,35,12.03,scattered clouds
178,synya,RU,65.3718,58.0387,41.29,98,100,2.33,light rain
179,ahipara,NZ,-35.1667,173.1667,68.4,77,2,12.3,clear sky
180,fort nelson,CA,58.8053,-122.7002,60.19,36,81,6.38,broken clouds
181,beloha,MG,-25.1667,45.05,66.63,86,0,11.23,clear sky
182,lebu,CL,-37.6167,-73.65,53.4,68,100,1.43,overcast clouds
183,barrow,US,71.2906,-156.7887,33.82,80,100,6.91,overcast clouds
184,srednekolymsk,RU,67.45,153.6833,32.97,97,100,13.33,overcast clouds
185,ewo,CG,-0.8725,14.8206,75.0,88,82,0.63,light rain
186,narsaq,GL,60.9167,-46.05,37.62,71,22,2.86,few clouds
187,tessalit,ML,20.1986,1.0114,87.58,14,5,6.91,clear sky
188,birao,CF,10.2849,22.7882,79.12,59,93,0.63,overcast clouds
189,ixtapa,MX,20.7,-105.2,80.22,69,20,8.05,few clouds
190,panjab,AF,34.388,67.0233,47.44,67,0,3.78,clear sky
191,benghazi,LY,32.1167,20.0667,67.66,53,0,4.25,clear sky
192,margate,GB,51.3813,1.3862,60.69,83,100,1.01,overcast clouds
193,anajatuba,BR,-3.2644,-44.6197,74.64,96,100,2.28,heavy intensity rain
194,northam,GB,51.0333,-4.2167,56.61,94,100,8.75,overcast clouds
195,beira,MZ,-19.8436,34.8389,77.09,73,40,9.22,scattered clouds
196,vilhena,BR,-12.7406,-60.1458,72.52,80,20,3.56,few clouds
197,ilulissat,GL,69.2167,-51.1,19.42,63,27,0.0,scattered clouds
198,taldan,RU,53.6667,124.8,49.14,36,73,9.66,broken clouds
199,vao,NC,-22.6667,167.4833,73.89,74,55,17.27,broken clouds
200,ancud,CL,-41.8697,-73.8203,46.6,76,100,9.84,overcast clouds
201,nassau,US,40.7507,-73.5829,70.09,79,0,9.22,clear sky
202,marsh harbour,BS,26.5412,-77.0636,78.26,82,67,10.89,broken clouds
203,ribeira grande,PT,38.5167,-28.7,58.66,80,13,41.94,few clouds
204,imeni poliny osipenko,RU,52.4201,136.4853,46.24,62,100,4.38,overcast clouds
205,coquimbo,CL,-29.9533,-71.3436,56.3,86,20,1.34,few clouds
206,cassilandia,BR,-19.1133,-51.7342,67.17,97,95,2.57,overcast clouds
207,ust-barguzin,RU,53.45,108.9833,47.53,49,100,4.0,overcast clouds
208,nanortalik,GL,60.1432,-45.2371,30.52,83,96,5.68,overcast clouds
209,adrar,MR,20.5022,-10.0711,85.66,12,8,9.35,clear sky
210,la ronge,CA,55.1001,-105.2842,44.22,58,100,7.34,overcast clouds
211,bowen,AU,-20.0167,148.2333,79.2,65,0,2.57,clear sky
212,vangaindrano,MG,-23.35,47.6,66.7,89,85,2.48,moderate rain
213,kenai,US,60.5544,-151.2583,55.49,37,0,16.11,clear sky
214,bethel,US,41.3712,-73.414,68.32,84,67,4.97,broken clouds
215,san vicente,AR,-26.6167,-54.1333,52.84,97,63,4.68,broken clouds
216,maldonado,UY,-34.6667,-54.9167,54.23,67,98,13.85,overcast clouds
217,hambantota,LK,6.1241,81.1185,79.14,100,75,6.91,broken clouds
218,pangal,IN,16.2761,78.1189,84.06,61,100,7.16,overcast clouds
219,launceston,AU,-41.45,147.1667,55.8,63,40,21.85,scattered clouds
220,inhambane,MZ,-23.865,35.3833,70.18,80,73,9.42,light rain
221,meulaboh,ID,4.1363,96.1285,77.68,88,100,3.91,overcast clouds
222,damaturu,NG,11.747,11.9608,84.96,23,29,5.19,scattered clouds
223,waiuku,NZ,-37.25,174.75,69.26,88,100,10.8,overcast clouds
224,saint george,US,37.1041,-113.5841,93.79,4,0,18.41,clear sky
225,ambilobe,MG,-13.2,49.05,68.04,87,6,2.95,clear sky
226,hofn,IS,64.2539,-15.2082,47.57,89,98,4.34,overcast clouds
227,north branch,US,45.5113,-92.9802,70.09,72,7,7.61,clear sky
228,san luis,AR,-33.295,-66.3356,45.12,41,0,9.22,clear sky
229,obo,CF,5.3998,26.4869,68.05,98,100,1.28,overcast clouds
230,ola,RU,59.5833,151.2833,41.14,84,86,26.93,overcast clouds
231,airai,TL,-8.9266,125.4092,70.63,63,1,2.28,clear sky
232,maku,IR,39.2911,44.4521,53.31,88,90,3.15,overcast clouds
233,mayumba,GA,-3.432,10.6554,76.95,93,80,4.23,broken clouds
234,hervey bay,AU,-25.2986,152.8535,80.02,85,0,3.0,clear sky
